Country,SERIES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Thailand,TFR,"375,564","456,912","439,795","571,061","775,626","704,080","694,886","763,139","624,214","779,070","761,904","1,033,305","1,003,141","937,358","815,708","1,132,267","1,704,800","2,761,213","4,609,717","4,631,981","7,981,407","8,779,196","9,846,818","10,625,167","11,138,658","1,302,132","26,558",
Japan,VFN,"220,715","241,525","260,627","267,180","294,937","351,788","391,384","452,420","448,782","616,009","652,820","811,675","942,439","1,000,416","1,006,085","1,412,875","1,043,246","1,425,100","1,314,437","2,409,158","4,993,689","6,373,564","7,355,818","8,380,034","9,594,394","1,069,256","42,239","189,125"
"Korea, Republic of",VFN,"178,359","199,604","214,244","210,662","316,639","442,794","482,227","539,466","513,236","627,264","709,836","896,969","1,068,925","1,167,891","1,342,317","1,875,157","2,220,196","2,836,892","4,326,869","6,126,865","5,984,170","8,067,722","4,169,353","4,789,512","6,023,021","686,430","170,215","227,358"
United Kingdom,VFR,"31,000","31,000","29,000","32,000","46,000","41,000","58,000","64,000","68,000","95,000","95,000","107,276","143,353","107,860","131,138","185,917","270,288","301,120","378,003","356,850","526,077","644,635","819,424","859,602","883,073",,"15,087","46,986"
United States of America,TFR,"166,520","198,759","209,609","208,930","384,086","249,441","232,416","225,565","157,326","202,544","270,272","320,450","397,405","492,958","524,817","801,738","1,112,287","1,465,503","1,872,033","2,224,787","2,628,570","3,049,942","3,173,915","2,991,813","2,829,970","378,080","191,776","368,111"
Viet Nam,VFR,"62,640","377,555","405,389","420,743","484,102","626,476","672,846","724,385","693,423","778,431","717,400","516,300","574,600","643,300","518,900","905,400","1,416,800","1,428,693","1,907,794","1,947,236","1,780,918","2,696,848","4,008,253","4,966,468","5,806,425","959,238","57,700","124,896"
Australia,VFR,"42,600","54,000","65,843","76,544","92,585","120,259","157,955","190,016","176,128","251,300","285,031","308,484","357,557","356,428","356,240","445,860","533,370","618,820","720,750","851,020","1,031,910","1,208,250","1,356,890","1,432,192","1,438,666","207,696","6,531","89,262"
Philippines,TFR,"8,606","15,757","19,093","24,252","21,220","14,724","18,937","27,803","32,039","39,581","107,456","133,585","157,601","163,689","155,019","187,446","243,137","250,883","426,352","394,951","490,841","675,663","968,447","1,257,962","1,743,309","170,432","9,674","34,263"
Cambodia,TFR,"22,886","22,029","17,282","18,035","26,805","30,586","32,002","54,045","38,664","46,325","59,153","80,540","118,417","129,626","128,210","177,636","247,197","333,894","463,123","560,335","694,712","830,003","1,210,782","2,024,443","2,361,849","329,673","45,775","106,875"
Singapore,VFR,"201,953","226,677","235,112","293,282","372,881","434,336","497,398","670,099","568,510","880,259","857,814","1,037,201","1,113,956","1,078,742","936,747","1,171,493","1,577,522","2,034,177","2,269,870","1,722,380","2,106,164","2,863,634","3,228,134","3,417,604","3,627,120","357,292","88,252","130,868"
Maldives,TFN,"8,457","4,127","2,686","3,067","3,973","5,380","7,342","12,092","15,021","20,599","11,609","26,396","35,976","41,511","60,666","118,961","198,655","229,551","331,719","363,626","359,514","324,326","306,530","283,116","284,029","34,245","2,238","12,764"
Malaysia,TFN,,,,,,,,,,,,,,,,,,"1,557,960","1,790,079","1,612,523","1,676,518","2,124,942","2,281,321","2,943,792","3,113,915","405,088","7,658",
Indonesia,VFN,,,,,"17,875","16,266","18,028","19,840","31,497","39,936","128,681","182,341","269,216","354,641","444,598","511,188","594,997","726,088","858,140","1,052,705","1,260,700","1,556,771","2,093,171","2,139,161","2,072,079","239,768","54,713","169,378"