Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,1.3490325,1.277863333,1.34738,1.591828333,1.54995,1.724826667,1.9334425,1.8405625,1.541914167,1.3597525,1.309473333,1.327973441,1.1950725,1.192178333,1.28218881,1.090159486,0.9694632015,0.9658010307,1.035843097,1.109363293,1.331090262,1.345213976,1.304758077,1.338412146,1.438506544,1.453085118,1.33122426,1.441664459,1.505191066,1.515358039
United Kingdom,0.63366812,0.640958255,0.6108361142,0.6038235942,0.618056845,0.6609308333,0.694655,0.6672233333,0.6124725,0.54618,0.5499983333,0.5434866667,0.4997716667,0.54396625,0.6419192635,0.6471793456,0.6241408357,0.6330469889,0.6396605776,0.6077296269,0.6545454789,0.7406344637,0.7769766823,0.7495315403,0.78344511,0.7799995767,0.7270649447,0.8113017158,0.8045389067,0.782414581
Indonesia,2248.607975,2342.296292,2909.38,10013.6225,7855.15,8421.775,10260.85,9311.191667,8577.133333,8938.85,9704.741667,9159.316667,9141,9698.9625,10389.9375,9090.433333,8770.433333,9386.629167,10461.24,11865.2113,13389.41294,13308.3268,13380.83388,14236.93877,14147.67136,14582.20347,14308.1439,14849.85394,15236.88466,15855.44829
Japan,94.05957917,108.7790567,120.9908625,130.9053007,113.906805,107.7654983,121.5289475,125.3880192,115.9334642,108.1925692,110.2182117,116.2993117,117.7535292,103.359494,93.57008909,87.779875,79.80701983,79.79045542,97.59565828,105.944781,121.0440257,108.7929,112.1661411,110.4231793,109.0096659,106.7745823,109.7543238,131.4981404,140.4911001,151.3662913
"Korea, Republic of",771.2541667,804.4575,949.89,1403.183333,1189.439167,1130.3625,1290.79,1251.6025,1191.645833,1146.249167,1024.328333,955.3408333,929.3758333,1100.125833,1277.245833,1156.46,1108.233333,1126.806667,1094.9825,1052.84,1130.9525,1160.7675,1131.000833,1100.163333,1165.3575,1180.265833,1143.951667,1291.446667,1305.6625,1363.375
Maldives,11.77,11.77,11.77,11.77,11.77,11.77,12.24208333,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,14.6020084,15.36483532,15.36671003,15.38039352,15.36633122,15.36840768,15.38696851,15.39083727,15.38204192,15.38126953,15.37269841,15.386625,15.38679435,15.38919633
Malaysia,2.504404167,2.5159425,2.813191667,3.924375,3.8,3.8,3.8,3.8,3.8,3.8,3.787091667,3.668176958,3.437569382,3.335833333,3.524502911,3.221086915,3.060003011,3.088800867,3.15090855,3.272859746,3.905500263,4.148300663,4.300440878,4.035130137,4.142469736,4.203481949,4.143297598,4.401076345,4.560623432,4.576427911
Philippines,25.71446667,26.2161,29.47065833,40.89305,39.08898333,44.19225,50.99265,51.60356667,54.20333333,56.03991667,55.08549167,51.3142725,46.14839118,44.32328761,47.67968845,45.10966418,43.31313692,42.22879473,42.44618483,44.3951543,45.50283994,47.49246386,50.40371979,52.66142995,51.79578265,49.624096,49.25459773,54.47778584,55.63036322,57.29065507
Singapore,1.417375,1.410040833,1.484805833,1.673601667,1.694956667,1.723963333,1.7917225,1.790588333,1.742183333,1.690228333,1.6643975,1.588933333,1.507101667,1.414860833,1.454514713,1.363508333,1.257775877,1.249676204,1.2513,1.26705,1.374825,1.381546364,1.380925,1.348841667,1.364158333,1.379741667,1.343483333,1.378666667,1.342766667,1.336233333
Thailand,24.9151757,25.34268286,31.36433445,41.3593875,37.81365583,40.11180333,44.4319,42.96008333,41.48461667,40.22241492,40.22013021,37.88198322,34.51818059,33.31330064,34.28577412,31.685705,30.49173333,31.08309167,30.72596667,32.47983333,34.24771667,35.29638333,33.93981106,32.31022574,31.04760578,31.29367321,31.97709344,35.06135021,34.80218858,35.29353808
United States of America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Viet Nam,11038.25,11032.58333,11683.33333,13268,13943.16667,14167.75,14725.16667,15279.5,15509.58333,15746,15858.91667,15994.25,16105.125,16302.25,17065.08333,18612.91667,20509.75,20828,20933.41667,21148,21697.5675,21935.00083,22370.08667,22602.05,23050.24167,23208.36833,23159.78259,23271.2125,23787.31917,24164.88583