Country,Year,arrivals_from_china,gdp_china,exchange_rate,RER,peace_index,CPI_destination,covid_dummy,post_covid,is_thailand,thailand_post_covid,ln_arrivals,ln_gdp_china,ln_rer
Indonesia,2008,354641.0,3523.44302,0.0007163343501946,0.0008691361715484,1.668,91.11963773,0,0,0,0,12.778861289175843,8.167193921215857,-7.048010745839811
Indonesia,2009,444598.0,3898.24459,0.0006574341760958,0.0008393671400309,1.853,95.11652148,0,0,0,0,13.004925782076564,8.268281625661812,-7.0828623548040035
Indonesia,2010,511188.0,4629.24552,0.0007446949723975,0.0007446949723975,1.946,100.0,0,0,0,0,13.144492707591535,8.440149179158102,-7.20253585644879
Indonesia,2011,594997.0,5703.76028,0.0007369077164844,0.000736600428064,1.979,105.3560485,0,0,0,0,13.29631164249825,8.64888093456302,-7.213464972818533
Indonesia,2012,726088.0,6405.05742,0.00067215822504,0.0006825001160971,1.913,109.8647756,0,0,0,0,13.49542649858255,8.764843179161845,-7.289747860799533
Indonesia,2013,858140.0,7147.03519,0.000587674118938,0.0006195211195098,1.879,116.9098484,0,0,0,0,13.662522535322466,8.874452890952085,-7.386563766257767
Indonesia,2014,1052705.0,7781.06597,0.0005193333556562,0.000572168969678,1.853,124.38615,0,0,0,0,13.866873599919407,8.959448621925675,-7.4660762086719545
Indonesia,2015,1260700.0,8175.33285,0.0004692289369335,0.0005426525631242,1.768,132.3009907,0,0,0,0,14.047177680219361,9.008876710532927,-7.519041289736497
Indonesia,2016,1556771.0,8254.86859,0.0004989357490079,0.0005870882019332,1.799,136.9656651,0,0,0,0,14.258124362285596,9.018558437390453,-7.440335490593922
Indonesia,2017,2093171.0,8979.67653,0.000504968528912,0.000607939399846,1.85,142.1824114,0,0,0,0,14.554190698998587,9.102719139489338,-7.405435352271543
Indonesia,2018,2139161.0,10085.6638,0.0004642149626945,0.0005662029479374,1.853,146.7298991,0,0,0,0,14.575924254049191,9.21887026874777,-7.4765579787698275
Indonesia,2019,2072079.0,10342.901,0.0004882853032288,0.0005991667818122,1.785,151.1766728,0,0,0,0,14.544063009047807,9.244055669640996,-7.419970564861067
Indonesia,2020,239768.0,10627.4638,0.0004734675396762,0.0005789794648722,1.831,154.0790159,1,0,0,0,12.387427068133922,9.271196853969792,-7.454243547562201
Indonesia,2021,54713.0,12887.4357,0.0004508481355153,0.0005559492915269,1.783,156.48277,1,0,0,0,10.909856620136853,9.464008138982022,-7.494833470162622
Indonesia,2022,169378.0,12970.6056,0.0004531357700343,0.0005728122881842,1.8,163.0698569,1,0,0,0,12.039888182636366,9.470440968587436,-7.464952489712402
Indonesia,2023,787924.0,12951.1782,0.0004647209818808,0.000608070571964,1.829,169.0535202,0,1,0,0,13.577156917488226,9.468942043684173,-7.405219610424766
Indonesia,2024,1197534.0,13303.1482,0.0004538313813894,0.0006053705659449,1.857,172.7414443,0,1,0,0,13.995775000348491,9.495755992966135,-7.409669781744435
Malaysia,2008,949864.0,3523.44302,2.0827479392538346,2.713185450415433,1.638,97.83239896,0,0,0,0,13.764074095433918,8.167193921215857,0.9981233875571403
Malaysia,2009,1019756.0,3898.24459,1.9380605357655785,2.559880457504267,1.561,98.40306356,0,0,0,0,13.835073940957543,8.268281625661812,0.9399605611137699
Malaysia,2010,1130261.0,4629.24552,2.101650833597578,2.101650833597578,1.539,100.0,0,0,0,0,13.93795913746959,8.440149179158102,0.7427231471427166
Malaysia,2011,1250536.0,5703.76028,2.1120894249995885,2.067492494476449,1.467,103.1744709,0,0,0,0,14.039082817370037,8.64888093456302,0.7263365176679828
Malaysia,2012,1557960.0,6405.05742,2.042637344286915,1.980166084546702,1.485,104.8908515,0,0,0,0,14.2588878311423,8.764843179161845,0.6831807222728153
Malaysia,2013,1790079.0,7147.03519,1.9511197809914225,1.8842436444938544,1.574,107.0988169,0,0,0,0,14.39777031092127,8.874452890952085,0.6335264907724285
Malaysia,2014,1612523.0,7781.06597,1.8827571231950984,1.842148978742865,1.659,110.4649225,0,0,0,0,14.293310591116233,8.959448621925675,0.6109328133589453
Malaysia,2015,1676518.0,8175.33285,1.6086799582427784,1.586033781598692,1.561,112.7895351,0,0,0,0,14.332229581484526,9.008876710532927,0.46123642285888905
Malaysia,2016,2124942.0,8254.86859,1.6006554344588018,1.583431548653103,1.648,115.1474754,0,0,0,0,14.569255065850516,9.018558437390453,0.45959435818288963
Malaysia,2017,2281321.0,8979.67653,1.5712109971251185,1.5912345020900374,1.637,119.6050658,0,0,0,0,14.64026521911629,9.102719139489338,0.4645101313856717
Malaysia,2018,2943792.0,10085.6638,1.6378653911057242,1.642810611832079,1.619,120.6632228,0,0,0,0,14.895209104161008,9.21887026874777,0.4964085626801332
Malaysia,2019,3113915.0,10342.901,1.6676283570560286,1.6441176330019025,1.529,121.4630895,0,0,0,0,14.951391334921327,9.244055669640996,0.4972038469950653
Malaysia,2020,405088.0,10627.4638,1.6424954558547575,1.5653240674115056,1.525,120.0799867,1,0,0,0,12.911859606436554,9.271196853969792,0.4480928743841428
Malaysia,2021,7658.0,12887.4357,1.5569241280457016,1.5097439396894423,1.515,123.0544909,1,0,0,0,8.943506132037239,9.464008138982022,0.41194006008252787
Malaysia,2022,212603.0,12970.6056,1.5289441655891112,1.5077538445216352,1.471,127.2121313,1,0,0,0,12.267181855797011,9.470440968587436,0.4106210231859571
Malaysia,2023,1613312.0,12951.1782,1.5526166774297274,1.5667761365496975,1.513,130.3782703,0,1,0,0,14.293799766796782,9.468942043684173,0.4490200920002254
Malaysia,2024,3725894.0,13303.1482,1.572339855437089,1.6120373499174134,1.427,132.7695384,0,1,0,0,15.130817381000405,9.495755992966135,0.4774988137399718
Thailand,2008,937358.0,3523.44302,0.2085563383550697,0.2712639349388868,2.24,97.68066353,0,0,1,0,13.750820558687803,8.167193921215857,-1.3046630024004302
Thailand,2009,815708.0,3898.24459,0.1992284023132332,0.2590091239150132,2.353,96.85456244,0,0,1,0,13.611811726767856,8.268281625661812,-1.3508919904319787
Thailand,2010,1132267.0,4629.24552,0.2136483944415944,0.2136483944415944,2.393,100.0,0,0,1,0,13.9397323756577,8.440149179158102,-1.5434236318204366
Thailand,2011,1704800.0,5703.76028,0.2119590883881051,0.2087591709890673,2.247,103.8087906,0,0,1,0,14.348958359766545,8.64888093456302,-1.5665739833344334
Thailand,2012,2761213.0,6405.05742,0.2029817389783479,0.2006152219708604,1.796,106.9385213,0,0,1,0,14.831180633898303,8.764843179161845,-1.606366524125532
Thailand,2013,4609717.0,7147.03519,0.20008483593138,0.1971530361310731,2.378,109.2750063,0,0,1,0,15.34367702480216,8.874452890952085,-1.6237750186701927
Thailand,2014,4631981.0,7781.06597,0.1897177222984229,0.1871062428953807,2.395,111.3459226,0,0,1,0,15.348495196326729,8.959448621925675,-1.6760786796345846
Thailand,2015,7981407.0,8175.33285,0.1834487262475942,0.1769435704323005,2.303,110.3433361,0,0,1,0,15.892625269673664,9.008876710532927,-1.7319244083563223
Thailand,2016,8779196.0,8254.86859,0.1881212570115183,0.1786682394830712,2.312,110.5509468,0,0,1,0,15.987895389664365,9.018558437390453,-1.7222246035413005
Thailand,2017,9846818.0,8979.67653,0.1990847853588493,0.1875995810571822,2.286,111.2868092,0,0,1,0,16.102658915272496,9.102719139489338,-1.673445475583177
Thailand,2018,10625167.0,10085.6638,0.2045482459077365,0.1912360943957024,2.259,112.4707868,0,0,1,0,16.178735990298293,9.21887026874777,-1.6542465179610013
Thailand,2019,11138658.0,10342.901,0.2225002484555509,0.2045587278123333,2.278,113.26565,0,0,1,0,16.22593231842035,9.244055669640996,-1.586900167160443
Thailand,2020,1302132.0,10627.4638,0.2206260656481112,0.196650480157886,2.245,112.3074938,1,0,1,0,14.079513479100275,9.271196853969792,-1.6263273384196004
Thailand,2021,26558.0,12887.4357,0.2017319057500931,0.1807309943816562,2.205,113.68932,1,0,1,0,10.187086299550273,9.464008138982022,-1.7107455721209746
Thailand,2022,258662.0,12970.6056,0.1919207320795304,0.1664178121579294,2.098,111.8581486,1,0,1,0,12.463277469097388,9.470440968587436,-1.7932537121055268
Thailand,2023,3521095.0,12951.1782,0.2034613422004507,0.1910860112547065,2.061,121.3415403,0,1,1,1,15.074282578744524,9.468942043684173,-1.6550316315941767
Thailand,2024,6733162.0,13303.1482,0.2038815146186103,0.193646236873856,2.048,122.9988296,0,1,1,1,15.722555427835026,9.495755992966135,-1.6417223058264787
Viet Nam,2008,643300.0,3523.44302,0.0004261804352159,0.0004869313112435,1.775,85.80530323,0,0,0,0,13.374366457399091,8.167193921215857,-7.627387489503958
Viet Nam,2009,518900.0,3898.24459,0.0004002734629482,0.0004919808446494,1.664,91.56883061,0,0,0,0,13.15946646535583,8.268281625661812,-7.617070775869331
Viet Nam,2010,905400.0,4629.24552,0.0003637044166705,0.0003637044166705,1.691,100.0,0,0,0,0,13.716132113983996,8.440149179158102,-7.919169062326341
Viet Nam,2011,1416800.0,5703.76028,0.0003151184192883,0.0003548153643937,1.67,118.6777323,0,0,0,0,14.16391136545076,8.64888093456302,-7.943913004087371
Viet Nam,2012,1428693.0,6405.05742,0.0003029239485308,0.0003624759971451,1.641,129.47112,0,0,0,0,14.172270598282207,8.764843179161845,-7.922552300633978
Viet Nam,2013,1907794.0,7147.03519,0.0002936835442066,0.000365467137614,1.772,138.0067299,0,0,0,0,14.461458158704549,8.874452890952085,-7.914334193585466
Viet Nam,2014,1947236.0,7781.06597,0.0002913750709286,0.0003707191349252,1.792,143.6436899,0,0,0,0,14.481921489129954,8.959448621925675,-7.900065830782068
Viet Nam,2015,1780918.0,8175.33285,0.0002895578041179,0.0003658713966743,1.848,144.5503702,0,0,0,0,14.392639519662163,9.008876710532927,-7.913228661516471
Viet Nam,2016,2696848.0,8254.86859,0.0003027125483815,0.000385951562804,1.906,148.4073328,0,0,0,0,14.807594241616329,9.018558437390453,-7.859798681337071
Viet Nam,2017,4008253.0,8979.67653,0.0003020506849024,0.0003929258744258,1.919,153.6316522,0,0,0,0,15.203866043507112,9.102719139489338,-7.8418895785776215
Viet Nam,2018,4966468.0,10085.6638,0.0002924071046652,0.0003866425039353,1.905,159.0696412,0,0,0,0,15.418219481447556,9.21887026874777,-7.8580100543070435
Viet Nam,2019,5806425.0,10342.901,0.0002996975085511,0.0003977729049635,1.877,163.5169479,0,0,0,0,15.5744756210255,9.244055669640996,-7.82962930607254
Viet Nam,2020,959238.0,10627.4638,0.0002974875226827,0.0003985004061762,1.92,168.7837215,1,0,0,0,13.773894498257691,9.271196853969792,-7.827802040471789
Viet Nam,2021,57700.0,12887.4357,0.0002785345663298,0.000377262718655,1.835,171.8804227,1,0,0,0,10.96301245249619,9.464008138982022,-7.882568746756062
Viet Nam,2022,124896.0,12970.6056,0.0002891555392741,0.0003974338457342,1.786,177.3058411,1,0,0,0,11.735236669980342,9.470440968587436,-7.830482063546114
Viet Nam,2023,1743204.0,12951.1782,0.0002976754105578,0.0004217991680629,1.745,183.0734101,0,1,0,0,14.37123535724048,9.468942043684173,-7.770981262271237
Viet Nam,2024,3738126.0,13303.1482,0.0002977750464298,0.0004362063380043,1.802,189.702668,0,1,0,0,15.134094974294717,9.495755992966135,-7.737395174260352
