Country ,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Australia,1.536,1.525,1.565,1.47,1.386,1.419,1.435,1.425,1.465,1.329,1.414,1.438,1.494,1.455,1.467,1.476,1.43
Cambodia,2.028,1.947,1.882,2.008,2.011,2.066,2.101,2.065,2.161,2.179,2.201,2.263,2.207,2.301,2.252,2.179,2.019
Indonesia,1.857,1.829,1.8,1.783,1.831,1.785,1.853,1.85,1.799,1.768,1.853,1.879,1.913,1.979,1.946,1.853,1.668
Japan,1.525,1.336,1.336,1.373,1.36,1.369,1.391,1.408,1.395,1.322,1.316,1.293,1.326,1.287,1.247,1.272,1.464
"Korea, Republic of",1.848,1.763,1.779,1.877,1.829,1.867,1.823,1.823,1.858,1.701,1.849,1.822,1.734,1.829,1.715,1.627,1.73
Malaysia,1.427,1.513,1.471,1.515,1.525,1.529,1.619,1.637,1.648,1.561,1.659,1.574,1.485,1.467,1.539,1.561,1.638
Maldives,,,,,,,,,,,,,,,,,
Philippines,2.21,2.229,2.339,2.417,2.471,2.516,2.512,2.555,2.511,2.462,2.456,2.374,2.145,2.574,2.574,2.327,2.148
Singapore,1.339,1.332,1.326,1.347,1.321,1.347,1.382,1.534,1.535,1.49,1.545,1.438,1.521,1.585,1.624,1.533,1.531
Thailand,2.048,2.061,2.098,2.205,2.245,2.278,2.259,2.286,2.312,2.303,2.395,2.378,1.796,2.247,2.393,2.353,2.24
United Kingdom,1.703,1.693,1.667,1.658,1.77,1.801,1.876,1.786,1.83,1.685,1.798,1.787,1.609,1.631,1.631,1.647,1.859
United States of America,2.622,2.448,2.44,2.337,2.307,2.401,2.3,2.232,2.154,2.038,2.137,2.126,2.058,2.063,2.056,2.015,2.352
Viet Nam,1.802,1.745,1.786,1.835,1.92,1.877,1.905,1.919,1.906,1.848,1.792,1.772,1.641,1.67,1.691,1.664,1.775